number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
99,0.6266644438746692,2026-05-28 11:44:45.226137,2026-05-28 11:44:50.733516,0 days 00:00:05.507379,20.0,0.5,2,14,750,COMPLETE
100,0.6548899624890504,2026-05-28 11:44:50.733919,2026-05-28 11:44:55.536675,0 days 00:00:04.802756,20.0,0.3,1,13,700,COMPLETE
101,0.6548899624890504,2026-05-28 11:44:55.537167,2026-05-28 11:45:00.438183,0 days 00:00:04.901016,20.0,0.3,1,13,700,COMPLETE
102,0.6530180326599875,2026-05-28 11:45:00.438834,2026-05-28 11:45:05.206487,0 days 00:00:04.767653,20.0,0.3,1,12,700,COMPLETE
103,0.6528126115233731,2026-05-28 11:45:05.207030,2026-05-28 11:45:09.696795,0 days 00:00:04.489765,20.0,0.3,1,14,650,COMPLETE
104,0.6526670357468416,2026-05-28 11:45:09.697325,2026-05-28 11:45:15.065170,0 days 00:00:05.367845,,0.3,1,12,750,COMPLETE
105,0.637825192256553,2026-05-28 11:45:15.065563,2026-05-28 11:45:21.556642,0 days 00:00:06.491079,20.0,log2,2,15,800,COMPLETE
106,0.6493303373626328,2026-05-28 11:45:21.557124,2026-05-28 11:45:26.216529,0 days 00:00:04.659405,20.0,sqrt,1,7,700,COMPLETE
107,0.6102059709644925,2026-05-28 11:45:26.217034,2026-05-28 11:45:31.189626,0 days 00:00:04.972592,20.0,0.3,7,11,750,COMPLETE
108,0.6506310089779656,2026-05-28 11:45:31.190096,2026-05-28 11:45:35.381671,0 days 00:00:04.191575,20.0,0.3,1,14,600,COMPLETE
109,0.6399582581059193,2026-05-28 11:45:35.382178,2026-05-28 11:45:40.510314,0 days 00:00:05.128136,10.0,0.3,2,13,750,COMPLETE
110,0.6503973574819674,2026-05-28 11:45:40.510773,2026-05-28 11:45:47.874370,0 days 00:00:07.363597,15.0,0.3,1,12,650,COMPLETE
111,0.6548899624890504,2026-05-28 11:45:47.874866,2026-05-28 11:45:52.655023,0 days 00:00:04.780157,20.0,0.3,1,13,700,COMPLETE
112,0.6535207545432242,2026-05-28 11:45:52.655549,2026-05-28 11:45:57.338145,0 days 00:00:04.682596,20.0,0.3,1,14,700,COMPLETE
113,0.6548899624890504,2026-05-28 11:45:57.338539,2026-05-28 11:46:01.976219,0 days 00:00:04.637680,20.0,0.3,1,13,700,COMPLETE
114,0.6385577366958414,2026-05-28 11:46:01.976687,2026-05-28 11:46:08.974578,0 days 00:00:06.997891,20.0,1.0,1,13,750,COMPLETE
115,0.6526408959725342,2026-05-28 11:46:08.975058,2026-05-28 11:46:13.288645,0 days 00:00:04.313587,20.0,0.3,1,12,650,COMPLETE
116,0.6357479191463209,2026-05-28 11:46:13.289116,2026-05-28 11:46:17.332846,0 days 00:00:04.043730,20.0,0.3,2,15,600,COMPLETE
117,0.6546959451152712,2026-05-28 11:46:17.333396,2026-05-28 11:46:22.752373,0 days 00:00:05.418977,20.0,0.3,1,14,800,COMPLETE
118,0.6492898070231675,2026-05-28 11:46:22.752911,2026-05-28 11:46:27.082926,0 days 00:00:04.330015,15.0,0.3,1,13,650,COMPLETE
119,0.6369734817631727,2026-05-28 11:46:27.083427,2026-05-28 11:46:32.307752,0 days 00:00:05.224325,20.0,0.5,1,11,700,COMPLETE
120,0.6404461877102331,2026-05-28 11:46:32.308226,2026-05-28 11:46:37.270525,0 days 00:00:04.962299,,0.3,2,12,750,COMPLETE
121,0.6548899624890504,2026-05-28 11:46:37.271078,2026-05-28 11:46:42.089354,0 days 00:00:04.818276,20.0,0.3,1,13,700,COMPLETE
122,0.6548899624890504,2026-05-28 11:46:42.089813,2026-05-28 11:46:46.905729,0 days 00:00:04.815916,20.0,0.3,1,13,700,COMPLETE
123,0.6548899624890504,2026-05-28 11:46:46.906299,2026-05-28 11:46:51.667377,0 days 00:00:04.761078,20.0,0.3,1,13,700,COMPLETE
124,0.6546959451152712,2026-05-28 11:46:51.667924,2026-05-28 11:46:57.222613,0 days 00:00:05.554689,20.0,0.3,1,14,800,COMPLETE
125,0.6371522664404299,2026-05-28 11:46:57.223100,2026-05-28 11:47:01.958638,0 days 00:00:04.735538,20.0,0.3,1,2,650,COMPLETE
126,0.6371435744853593,2026-05-28 11:47:01.959145,2026-05-28 11:47:06.487015,0 days 00:00:04.527870,20.0,log2,1,12,700,COMPLETE
127,0.6418660750215303,2026-05-28 11:47:06.487474,2026-05-28 11:47:11.299262,0 days 00:00:04.811788,20.0,sqrt,1,15,750,COMPLETE
128,0.6415110335199443,2026-05-28 11:47:11.299634,2026-05-28 11:47:15.891341,0 days 00:00:04.591707,20.0,0.3,2,13,700,COMPLETE
129,0.6505149925381332,2026-05-28 11:47:15.891810,2026-05-28 11:47:20.149934,0 days 00:00:04.258124,15.0,0.3,1,14,650,COMPLETE
130,0.6438706849122275,2026-05-28 11:47:20.150404,2026-05-28 11:47:25.022743,0 days 00:00:04.872339,20.0,0.3,1,20,750,COMPLETE
131,0.6548899624890504,2026-05-28 11:47:25.023118,2026-05-28 11:47:29.659818,0 days 00:00:04.636700,20.0,0.3,1,13,700,COMPLETE
132,0.6548899624890504,2026-05-28 11:47:29.660444,2026-05-28 11:47:34.449143,0 days 00:00:04.788699,20.0,0.3,1,13,700,COMPLETE
133,0.6530180326599875,2026-05-28 11:47:34.449780,2026-05-28 11:47:39.261960,0 days 00:00:04.812180,20.0,0.3,1,12,700,COMPLETE
134,0.6564446219121516,2026-05-28 11:47:39.262441,2026-05-28 11:47:43.875465,0 days 00:00:04.613024,20.0,0.3,1,13,650,COMPLETE
135,0.6528126115233731,2026-05-28 11:47:43.875857,2026-05-28 11:47:48.370332,0 days 00:00:04.494475,20.0,0.3,1,14,650,COMPLETE
136,0.6459113999095369,2026-05-28 11:47:48.370805,2026-05-28 11:47:52.363650,0 days 00:00:03.992845,10.0,0.3,1,12,600,COMPLETE
137,0.6411650204824968,2026-05-28 11:47:52.364270,2026-05-28 11:47:56.849020,0 days 00:00:04.484750,20.0,0.3,2,13,650,COMPLETE
138,0.6401836579622606,2026-05-28 11:47:56.849837,2026-05-28 11:48:04.119215,0 days 00:00:07.269378,30.0,1.0,1,14,750,COMPLETE
139,0.6201570144066003,2026-05-28 11:48:04.119679,2026-05-28 11:48:09.234148,0 days 00:00:05.114469,20.0,0.3,6,13,750,COMPLETE
140,0.6438070961873907,2026-05-28 11:48:09.234622,2026-05-28 11:48:13.751486,0 days 00:00:04.516864,20.0,0.3,2,12,650,COMPLETE
141,0.6548899624890504,2026-05-28 11:48:13.751955,2026-05-28 11:48:18.748716,0 days 00:00:04.996761,20.0,0.3,1,13,700,COMPLETE
142,0.6548899624890504,2026-05-28 11:48:18.749177,2026-05-28 11:48:23.804673,0 days 00:00:05.055496,20.0,0.3,1,13,700,COMPLETE
143,0.6548899624890504,2026-05-28 11:48:23.805147,2026-05-28 11:48:28.954091,0 days 00:00:05.148944,20.0,0.3,1,13,700,COMPLETE
144,0.6536006247635123,2026-05-28 11:48:28.954567,2026-05-28 11:48:34.307637,0 days 00:00:05.353070,20.0,0.3,1,14,750,COMPLETE
145,0.650908402893843,2026-05-28 11:48:34.308105,2026-05-28 11:48:38.602968,0 days 00:00:04.294863,20.0,0.3,1,12,600,COMPLETE
146,0.6500885138815884,2026-05-28 11:48:38.603440,2026-05-28 11:48:43.536577,0 days 00:00:04.933137,15.0,0.3,1,13,700,COMPLETE
147,0.6528126115233731,2026-05-28 11:48:43.537075,2026-05-28 11:48:48.103923,0 days 00:00:04.566848,20.0,0.3,1,14,650,COMPLETE
148,0.6155735489738106,2026-05-28 11:48:48.104460,2026-05-28 11:48:50.150399,0 days 00:00:02.045939,,0.5,4,10,250,COMPLETE
149,0.6546959451152712,2026-05-28 11:48:50.150955,2026-05-28 11:48:55.875806,0 days 00:00:05.724851,20.0,0.3,1,14,800,COMPLETE
150,0.6525466156333481,2026-05-28 11:48:55.876291,2026-05-28 11:49:00.916993,0 days 00:00:05.040702,20.0,0.3,1,11,700,COMPLETE
151,0.6548899624890504,2026-05-28 11:49:00.917496,2026-05-28 11:49:05.958714,0 days 00:00:05.041218,20.0,0.3,1,13,700,COMPLETE
152,0.6547893955609343,2026-05-28 11:49:05.959192,2026-05-28 11:49:11.302796,0 days 00:00:05.343604,20.0,0.3,1,13,750,COMPLETE
153,0.6548899624890504,2026-05-28 11:49:11.303310,2026-05-28 11:49:16.282084,0 days 00:00:04.978774,20.0,0.3,1,13,700,COMPLETE
154,0.6523529957429764,2026-05-28 11:49:16.282699,2026-05-28 11:49:21.664975,0 days 00:00:05.382276,20.0,0.3,1,12,750,COMPLETE
155,0.6364164286468695,2026-05-28 11:49:21.665527,2026-05-28 11:49:26.157702,0 days 00:00:04.492175,20.0,log2,1,12,650,COMPLETE
156,0.6404312002672085,2026-05-28 11:49:26.158262,2026-05-28 11:49:30.621660,0 days 00:00:04.463398,20.0,sqrt,2,14,650,COMPLETE
157,0.6548899624890504,2026-05-28 11:49:30.622138,2026-05-28 11:49:35.630525,0 days 00:00:05.008387,20.0,0.3,1,13,700,COMPLETE
158,0.6536006247635123,2026-05-28 11:49:35.630991,2026-05-28 11:49:40.938579,0 days 00:00:05.307588,20.0,0.3,1,14,750,COMPLETE
159,0.6412680601221586,2026-05-28 11:49:40.939051,2026-05-28 11:49:45.894033,0 days 00:00:04.954982,15.0,0.3,2,12,700,COMPLETE
160,0.6564446219121516,2026-05-28 11:49:45.894494,2026-05-28 11:49:50.502144,0 days 00:00:04.607650,20.0,0.3,1,13,650,COMPLETE
161,0.6564446219121516,2026-05-28 11:49:50.502621,2026-05-28 11:49:55.773497,0 days 00:00:05.270876,20.0,0.3,1,13,650,COMPLETE
162,0.6564446219121516,2026-05-28 11:49:55.773881,2026-05-28 11:50:00.897510,0 days 00:00:05.123629,20.0,0.3,1,13,650,COMPLETE
163,0.6559950540915453,2026-05-28 11:50:00.897895,2026-05-28 11:50:05.074312,0 days 00:00:04.176417,20.0,0.3,1,13,600,COMPLETE
164,0.6506310089779656,2026-05-28 11:50:05.074819,2026-05-28 11:50:09.168319,0 days 00:00:04.093500,20.0,0.3,1,14,600,COMPLETE
165,0.6509963780250247,2026-05-28 11:50:09.168793,2026-05-28 11:50:13.302383,0 days 00:00:04.133590,30.0,0.3,1,12,600,COMPLETE
166,0.654195516305675,2026-05-28 11:50:13.302823,2026-05-28 11:50:17.085411,0 days 00:00:03.782588,20.0,0.3,1,13,550,COMPLETE
167,0.5920728399293294,2026-05-28 11:50:17.085950,2026-05-28 11:50:24.076684,0 days 00:00:06.990734,10.0,0.3,9,15,650,COMPLETE
168,0.6526408959725342,2026-05-28 11:50:24.077424,2026-05-28 11:50:28.369452,0 days 00:00:04.292028,20.0,0.3,1,12,650,COMPLETE
169,0.6559950540915453,2026-05-28 11:50:28.369968,2026-05-28 11:50:32.349250,0 days 00:00:03.979282,20.0,0.3,1,13,600,COMPLETE
170,0.6495896124341416,2026-05-28 11:50:32.349774,2026-05-28 11:50:36.202406,0 days 00:00:03.852632,50.0,0.3,1,19,600,COMPLETE
171,0.6559950540915453,2026-05-28 11:50:36.202908,2026-05-28 11:50:39.943855,0 days 00:00:03.740947,20.0,0.3,1,13,600,COMPLETE
172,0.654195516305675,2026-05-28 11:50:39.944237,2026-05-28 11:50:43.460083,0 days 00:00:03.515846,20.0,0.3,1,13,550,COMPLETE
173,0.6559950540915453,2026-05-28 11:50:43.460569,2026-05-28 11:50:47.349217,0 days 00:00:03.888648,20.0,0.3,1,13,600,COMPLETE
174,0.6389973062819841,2026-05-28 11:50:47.349612,2026-05-28 11:50:52.677206,0 days 00:00:05.327594,20.0,1.0,1,14,600,COMPLETE
175,0.6090275054928005,2026-05-28 11:50:52.677591,2026-05-28 11:50:55.795315,0 days 00:00:03.117724,20.0,0.3,8,13,500,COMPLETE
176,0.650908402893843,2026-05-28 11:50:55.795693,2026-05-28 11:50:59.755941,0 days 00:00:03.960248,20.0,0.3,1,12,600,COMPLETE
177,0.6506310089779656,2026-05-28 11:50:59.756423,2026-05-28 11:51:03.759223,0 days 00:00:04.002800,20.0,0.3,1,14,600,COMPLETE
178,0.6564446219121516,2026-05-28 11:51:03.759663,2026-05-28 11:51:08.097184,0 days 00:00:04.337521,20.0,0.3,1,13,650,COMPLETE
179,0.6383532506724684,2026-05-28 11:51:08.097572,2026-05-28 11:51:12.047277,0 days 00:00:03.949705,20.0,0.3,2,13,600,COMPLETE
180,0.6447194310820602,2026-05-28 11:51:12.047858,2026-05-28 11:51:16.081134,0 days 00:00:04.033276,,0.5,1,12,550,COMPLETE
181,0.6564446219121516,2026-05-28 11:51:16.081902,2026-05-28 11:51:20.395172,0 days 00:00:04.313270,20.0,0.3,1,13,650,COMPLETE
182,0.6564446219121516,2026-05-28 11:51:20.395635,2026-05-28 11:51:24.828579,0 days 00:00:04.432944,20.0,0.3,1,13,650,COMPLETE
183,0.6528126115233731,2026-05-28 11:51:24.829055,2026-05-28 11:51:29.266723,0 days 00:00:04.437668,20.0,0.3,1,14,650,COMPLETE
184,0.6564446219121516,2026-05-28 11:51:29.267236,2026-05-28 11:51:33.744691,0 days 00:00:04.477455,20.0,0.3,1,13,650,COMPLETE
185,0.6564446219121516,2026-05-28 11:51:33.745237,2026-05-28 11:51:38.021884,0 days 00:00:04.276647,20.0,0.3,1,13,650,COMPLETE
186,0.6564446219121516,2026-05-28 11:51:38.022359,2026-05-28 11:51:42.420017,0 days 00:00:04.397658,20.0,0.3,1,13,650,COMPLETE
187,0.6505149925381332,2026-05-28 11:51:42.420501,2026-05-28 11:51:46.684431,0 days 00:00:04.263930,15.0,0.3,1,14,650,COMPLETE
188,0.6559950540915453,2026-05-28 11:51:46.684888,2026-05-28 11:51:50.606677,0 days 00:00:03.921789,20.0,0.3,1,13,600,COMPLETE
189,0.6509963780250247,2026-05-28 11:51:50.607087,2026-05-28 11:51:54.501188,0 days 00:00:03.894101,50.0,0.3,1,12,600,COMPLETE
190,0.654195516305675,2026-05-28 11:51:54.501565,2026-05-28 11:51:58.113035,0 days 00:00:03.611470,20.0,0.3,1,13,550,COMPLETE
191,0.6564446219121516,2026-05-28 11:51:58.113692,2026-05-28 11:52:02.474811,0 days 00:00:04.361119,20.0,0.3,1,13,650,COMPLETE
192,0.6564446219121516,2026-05-28 11:52:02.475328,2026-05-28 11:52:06.631950,0 days 00:00:04.156622,20.0,0.3,1,13,650,COMPLETE
193,0.6559950540915453,2026-05-28 11:52:06.632445,2026-05-28 11:52:10.477030,0 days 00:00:03.844585,20.0,0.3,1,13,600,COMPLETE
194,0.6559950540915453,2026-05-28 11:52:10.477495,2026-05-28 11:52:14.494874,0 days 00:00:04.017379,20.0,0.3,1,13,600,COMPLETE
195,0.6559950540915453,2026-05-28 11:52:14.495353,2026-05-28 11:52:18.605164,0 days 00:00:04.109811,20.0,0.3,1,13,600,COMPLETE
196,0.6526408959725342,2026-05-28 11:52:18.605536,2026-05-28 11:52:23.121620,0 days 00:00:04.516084,20.0,0.3,1,12,650,COMPLETE
197,0.6355696123019351,2026-05-28 11:52:23.122149,2026-05-28 11:52:27.285345,0 days 00:00:04.163196,20.0,log2,1,13,650,COMPLETE
198,0.6455452880503544,2026-05-28 11:52:27.285983,2026-05-28 11:52:31.030616,0 days 00:00:03.744633,20.0,sqrt,1,14,600,COMPLETE
199,0.654195516305675,2026-05-28 11:52:31.031203,2026-05-28 11:52:34.537606,0 days 00:00:03.506403,20.0,0.3,1,13,550,COMPLETE
