feature,mean_abs_shap
ald_pri_priority_proxy,0.17905991710722446
delta_chiral_0,0.10328481253236532
ald_pri_max_atomic_num,0.07448437064886093
ald_pri_alpha_branching,0.07417751662433147
ald_B1_mean,0.05687300581485033
chiralenv_ald_frac_sp3,0.056589767802506685
ald_Vbur_total_mean,0.055025795474648476
chiralenv_ket_chirality_gradient,0.05356525594834238
chiral_det_mean,0.04983765282668173
chiral_aux_c4_R,0.047414613887667656
feat_yield_pct,0.047217993065714836
chiralenv_ket_nearest_chiral_sign,0.039315087255090475
ald_Vbur_total_std,0.03814806882292032
delta_chiral_12,0.0374364354647696
ald_pri_is_aromatic,0.03718855045735836
Vbur_diff_mean,0.03423361945897341
chiral_det_abs_sum,0.0307771279476583
ald_L_mean,0.03051583468914032
Vbur_total_mean,0.0301796430721879
chiralenv_ald_mw,0.02992832357995212
feat_metal_coord_num,0.028847224544733763
ald_L_std,0.02852883073501289
Vbur_si_mean,0.027783468482084572
feat_metal_ionic_radius,0.025921047665178776
delta_chiral_11,0.025163297192193568
ald_B5_std,0.024323940742760897
cos_tau1_std,0.02353790123015642
delta_chiral_14,0.02353755966760218
ald_B5_mean,0.023414519615471363
delta_chiral_4,0.023136480362154543
feat_solvent_mw,0.022795850760303438
ald_n_conformers,0.022295689675956964
chiralenv_ket_chirality_product_3bond,0.0189962045988068
chiralenv_ald_n_heavy,0.018870887462981045
feat_temperature_c,0.018330169608816504
ald_pri_chain_length,0.017874762299470603
sin_tau2_mean,0.016425731359049678
ald_B1_std,0.016314756823703647
feat_solvent_density,0.016117937571834773
ald_n_clusters,0.015666343737393618
feat_time_h,0.015403412282466888
delta_chiral_9,0.013737808330915868
delta_chiral_15,0.012572833220474422
chiral_aux_c4_match,0.012393266661092639
delta_chiral_1,0.012158476514741778
delta_chiral_7,0.012011940591037273
delta_chiral_6,0.011810059892013669
chiral_det_max,0.01163712760899216
feat_metal_hardness,0.011386872618459165
feat_metal_none,0.011368258856236935
chiralenv_ald_n_stereo,0.011336016817949712
Vbur_total_std,0.01115066441707313
cos_tau2_mean,0.011070942389778793
feat_solvent_refractive_index,0.010924085741862655
cos_tau1_mean,0.010490308864973485
Vbur_re_mean,0.010367778828367591
chiral_aux_mw,0.009932368760928512
feat_solvent_beta,0.0097921701380983
chiralenv_ket_frac_sp3,0.009770113858394325
sin_tau1_std,0.009603028534911573
n_defined_stereocenters,0.009473423706367612
feat_base_pKa,0.009348045685328543
delta_chiral_10,0.009324310114607215
feat_base_steric_A,0.009124589152634144
delta_chiral_3,0.00904817576520145
feat_solvent_pi_star,0.008957344456575811
chiralenv_ald_chirality_product,0.008877106360159814
delta_chiral_8,0.008773372042924166
aux_evans,0.008592052588937804
delta_chiral_5,0.008577201166190207
feat_solvent_dipole,0.00856949482113123
feat_metal_Mg,0.008397244499064982
feat_solvent_ET30,0.008232075138948858
feat_DIPEA,0.00808085105381906
delta_chiral_13,0.007428590790368617
chiralenv_ald_chirality_sum,0.007279477664269507
feat_act_Bu2BOTf,0.007167236413806677
cos_tau2_std,0.007166010793298483
chiralenv_ket_mw,0.007014659873675555
Vbur_re_std,0.006977120880037546
delta_chiral_2,0.006934745877515525
B5_std,0.006651224859524518
chiralenv_ket_n_heavy,0.006635039346292615
feat_act_MgCl2,0.00640404864680022
feat_solvent_epsilon,0.006243917916435748
chiral_dominant_sign,0.006043535948265344
feat_metal_Ti,0.006001502508297563
feat_act_other_activator,0.005750861135311425
B1_std,0.005687816417776048
Vbur_diff_std,0.005646459991112351
sin_tau2_std,0.005429437034763396
Vbur_si_std,0.0051480382098816335
ald_pri_has_heteroatom,0.005110164172947407
feat_solvent_bp,0.0050861285999417305
sin_tau1_mean,0.005080351955257356
feat_solvent_alpha,0.005060403549578041
feat_no_base,0.004800865281140432
feat_solvent_logP,0.004760095907840878
feat_base_nucleophilicity,0.0047533539473079145
L_mean,0.004724568105302751
chiral_n_defined,0.004523339870502241
aux_other_auxiliary,0.004442957637365907
L_std,0.004423127800691873
feat_solvent_molar_vol,0.004307123948819935
chiral_primary_cip_R,0.003763732238439843
ald_pri_n_rings,0.003650850849226117
feat_metal_Sn,0.00338736529374728
feat_solvent_viscosity,0.0032335633877664804
B1_mean,0.0028518058243207633
feat_act_TiCl4,0.002711198845645413
aux_crimmins_oxathione,0.002690291747740048
ald_pri_has_halogen,0.0025233389023924246
chiralenv_ket_aux_ring_size,0.0024744755355641246
chiral_sum_signs,0.0021614821307593957
B5_mean,0.001967934484127909
chiralenv_ket_n_total_stereo,0.0018651602586032823
aux_rg_benzyl,0.0017278730811085552
feat_other_base,0.0016816467177704908
feat_metal_B,0.0016326256736647338
feat_Et3N,0.0015347342559834942
chiralenv_ket_n_stereo_4bond,0.0013386604259721935
feat_act_Chx2BCl,0.0013187401182221947
chiralenv_ket_n_stereo_5bond,0.001151779477368109
feat_solvent_known,0.0010757323179859668
chiralenv_ket_nearest_pair_relation,0.0010515377070987597
aux_rg_isopropyl,0.0009158761786238756
aux_oppolzer,0.000820046931039542
aux_crimmins_thione,0.0007128827928681858
n_conformers,0.0007106574485078454
feat_act_Sn_OTf2,0.0006826711123721907
n_clusters,0.00047445977543247864
feat_metal_unknown,0.00045861613762099296
aux_rg_methyl,0.0003238421650166856
chiralenv_ket_n_stereo_3bond,0.00028542707150336355
feat_metal_Li,0.00020413039601407945
chiralenv_ket_nearest_chiral_dist,0.00019564174726838246
chiralenv_ket_alpha_chiral_sign,0.00016074646578090324
feat_LiHMDS,0.00015329744201153517
aux_rg_other,9.678010633251688e-05
chiralenv_ket_alpha_is_chiral,7.867123258620268e-05
aux_myers,6.364534056046978e-05
aux_rg_phenyl,5.789474130324379e-05
feat_act_BF3_OEt2,0.0
feat_metal_Zr,0.0
feat_metal_Zn,0.0
feat_NaHMDS,0.0
feat_act_9BBN_OTf,0.0
feat_act_Ipc2BCl,0.0
feat_LDA,0.0
feat_KHMDS,0.0
feat_metal_Cu,0.0
aux_rg_tert_butyl,0.0
aux_rg_indanyl,0.0
