class,class_id,feature,mean_abs_shap
RS (1),1,chiral_det_abs_sum,0.017824844
SR (2),2,B1_mean,0.0009774633
SR (2),2,B1_std,0.0051114988
SR (2),2,B5_mean,0.0021659792
SR (2),2,B5_std,0.006250775
SR (2),2,L_mean,0.003963835
SR (2),2,L_std,0.0035424128
SR (2),2,Vbur_diff_mean,0.024626067
SR (2),2,Vbur_diff_std,0.003827217
SR (2),2,Vbur_re_mean,0.006603735
SR (2),2,Vbur_re_std,0.0021000863
SR (2),2,Vbur_si_mean,0.0019374345
SR (2),2,Vbur_si_std,0.002092915
SR (2),2,Vbur_total_mean,0.012356067
SR (2),2,Vbur_total_std,0.02274232
SR (2),2,cos_tau1_mean,0.006288952
SR (2),2,cos_tau1_std,0.015253693
SR (2),2,cos_tau2_mean,0.009905392
SR (2),2,cos_tau2_std,0.010332917
SR (2),2,sin_tau1_mean,0.0047439113
SR (2),2,sin_tau1_std,0.0023611258
SR (2),2,sin_tau2_mean,0.010263648
SR (2),2,sin_tau2_std,0.004988017
SR (2),2,n_conformers,0.00050685584
SR (2),2,n_clusters,0.0004172174
SR (2),2,ald_L_mean,0.038549002
SR (2),2,ald_L_std,0.032299902
SR (2),2,ald_B1_mean,0.042191852
SR (2),2,ald_B1_std,0.022915484
SR (2),2,ald_B5_mean,0.019657947
SR (2),2,ald_B5_std,0.03096379
SR (2),2,ald_Vbur_total_mean,0.06057251
SR (2),2,ald_Vbur_total_std,0.05129773
SR (2),2,ald_n_conformers,0.030120742
SR (2),2,ald_n_clusters,0.016043793
SR (2),2,feat_DIPEA,0.008047935
SR (2),2,feat_Et3N,0.00092374865
SR (2),2,feat_LiHMDS,0.0
SR (2),2,feat_NaHMDS,0.0
SR (2),2,feat_LDA,0.0
SR (2),2,feat_KHMDS,0.0
SR (2),2,feat_other_base,0.0047760447
SR (2),2,feat_no_base,0.0036744429
SR (2),2,feat_base_pKa,0.008490245
SR (2),2,feat_base_steric_A,0.011012017
SR (2),2,feat_base_nucleophilicity,0.0031256846
SR (2),2,feat_metal_B,0.00034470193
SR (2),2,feat_metal_Cu,0.0
SR (2),2,feat_metal_Li,0.00014645835
SR (2),2,feat_metal_Mg,0.01344109
SR (2),2,feat_metal_Sn,0.007842548
SR (2),2,feat_metal_Ti,0.0047394633
SR (2),2,feat_metal_Zn,0.0
SR (2),2,feat_metal_Zr,0.0
SR (2),2,feat_metal_none,0.02285356
SR (2),2,feat_metal_unknown,0.001090998
SR (2),2,feat_metal_coord_num,0.03174328
SR (2),2,feat_metal_ionic_radius,0.024517953
SR (2),2,feat_metal_hardness,0.018234488
SR (2),2,feat_solvent_alpha,0.0032862087
SR (2),2,feat_solvent_beta,0.007234062
SR (2),2,feat_solvent_pi_star,0.010672948
SR (2),2,feat_solvent_ET30,0.0031621037
SR (2),2,feat_solvent_epsilon,0.006859013
SR (2),2,feat_solvent_viscosity,0.0030573355
SR (2),2,feat_solvent_bp,0.0081470115
SR (2),2,feat_solvent_known,0.0010863552
SR (2),2,feat_act_Bu2BOTf,0.008905298
SR (2),2,feat_act_Chx2BCl,0.00011082182
SR (2),2,feat_act_Ipc2BCl,0.0
SR (2),2,feat_act_9BBN_OTf,0.0
SR (2),2,feat_act_TiCl4,0.0020682474
SR (2),2,feat_act_Sn_OTf2,0.0009334188
SR (2),2,feat_act_MgCl2,0.011328029
SR (2),2,feat_act_BF3_OEt2,0.0
SR (2),2,feat_act_other_activator,0.010966892
SR (2),2,feat_temperature_c,0.023322688
SR (2),2,feat_time_h,0.015429455
SR (2),2,feat_yield_pct,0.051838566
SR (2),2,feat_solvent_mw,0.029854575
SR (2),2,feat_solvent_density,0.0019702588
SR (2),2,feat_solvent_refractive_index,0.009347417
SR (2),2,feat_solvent_dipole,0.004378659
SR (2),2,feat_solvent_molar_vol,0.0055438825
SR (2),2,feat_solvent_logP,0.0031232361
SR (2),2,aux_evans,0.0027278876
SR (2),2,aux_crimmins_thione,0.0003627689
SR (2),2,aux_crimmins_oxathione,0.0031113361
SR (2),2,aux_other_auxiliary,0.0055478956
SR (2),2,aux_myers,0.0
SR (2),2,n_defined_stereocenters,0.0097028455
SR (2),2,chiral_dominant_sign,0.0056753615
SR (2),2,chiral_primary_cip_R,0.0011403215
SR (2),2,chiral_n_defined,0.0024760684
SR (2),2,chiral_sum_signs,0.0005148206
SR (2),2,chiral_aux_c4_R,0.093347095
SR (2),2,chiral_aux_c4_match,0.0125582535
SR (2),2,chiral_aux_mw,0.0068859607
SR (2),2,aux_rg_benzyl,0.003129257
SR (2),2,aux_rg_isopropyl,0.00018537954
SR (2),2,aux_rg_phenyl,5.469211e-05
SR (2),2,aux_rg_tert_butyl,0.0
SR (2),2,aux_rg_methyl,0.00044454116
SR (2),2,aux_rg_indanyl,0.0
SR (2),2,aux_rg_other,3.8848184e-06
SR (2),2,aux_oppolzer,0.000306796
SR (2),2,chiralenv_ket_n_stereo_3bond,0.00048508513
SR (2),2,chiralenv_ket_n_stereo_4bond,0.0009740371
SR (2),2,chiralenv_ket_n_stereo_5bond,0.00061422563
SR (2),2,chiralenv_ket_chirality_gradient,0.02827649
SR (2),2,chiralenv_ket_nearest_chiral_sign,0.06816987
SR (2),2,chiralenv_ket_nearest_chiral_dist,0.00014825877
SR (2),2,chiralenv_ket_alpha_is_chiral,4.2753145e-05
SR (2),2,chiralenv_ket_alpha_chiral_sign,0.00015748329
SR (2),2,chiralenv_ket_chirality_product_3bond,0.021556417
SR (2),2,chiralenv_ket_nearest_pair_relation,0.00054252153
SR (2),2,chiralenv_ket_n_total_stereo,0.0009662884
SR (2),2,chiralenv_ket_mw,0.003435122
SR (2),2,chiralenv_ket_n_heavy,0.0021487614
SR (2),2,chiralenv_ket_frac_sp3,0.0060468107
SR (2),2,chiralenv_ket_aux_ring_size,0.0016281749
SR (2),2,chiralenv_ald_n_stereo,0.02477175
SR (2),2,chiralenv_ald_chirality_sum,0.0015333318
SR (2),2,chiralenv_ald_chirality_product,0.0045487727
SR (2),2,chiralenv_ald_mw,0.03873123
SR (2),2,chiralenv_ald_n_heavy,0.020347701
SR (2),2,chiralenv_ald_frac_sp3,0.07811682
SR (2),2,ald_pri_is_aromatic,0.07149777
SR (2),2,ald_pri_alpha_branching,0.11372298
SR (2),2,ald_pri_max_atomic_num,0.06670407
SR (2),2,ald_pri_has_halogen,0.0035763686
SR (2),2,ald_pri_has_heteroatom,0.0013758307
SR (2),2,ald_pri_n_rings,0.0055887345
SR (2),2,ald_pri_chain_length,0.0057436083
SR (2),2,ald_pri_priority_proxy,0.23496956
SR (2),2,delta_chiral_0,0.21429335
SR (2),2,delta_chiral_1,0.005705755
SR (2),2,delta_chiral_2,0.0038070397
SR (2),2,delta_chiral_3,0.0076603643
SR (2),2,delta_chiral_4,0.014407578
SR (2),2,delta_chiral_5,0.009435228
SR (2),2,delta_chiral_6,0.0109421145
SR (2),2,delta_chiral_7,0.010612992
SR (2),2,delta_chiral_8,0.008427839
SR (2),2,delta_chiral_9,0.004772713
SR (2),2,delta_chiral_10,0.0046597132
SR (2),2,delta_chiral_11,0.00513134
SR (2),2,delta_chiral_12,0.0041532833
SR (2),2,delta_chiral_13,0.005844763
SR (2),2,delta_chiral_14,0.05180246
SR (2),2,delta_chiral_15,0.006628361
SR (2),2,chiral_det_mean,0.13818297
SR (2),2,chiral_det_max,0.013712607
SR (2),2,chiral_det_abs_sum,0.017930994
SS (3),3,B1_mean,0.0030978615
SS (3),3,B1_std,0.008620827
SS (3),3,B5_mean,0.001899841
SS (3),3,B5_std,0.006449271
SS (3),3,L_mean,0.006301305
SS (3),3,L_std,0.003665173
SS (3),3,Vbur_diff_mean,0.058193784
SS (3),3,Vbur_diff_std,0.004730541
SS (3),3,Vbur_re_mean,0.01594885
SS (3),3,Vbur_re_std,0.009881977
SS (3),3,Vbur_si_mean,0.04509667
SS (3),3,Vbur_si_std,0.0048210067
SS (3),3,Vbur_total_mean,0.009755644
SS (3),3,Vbur_total_std,0.008245901
SS (3),3,cos_tau1_mean,0.017019717
SS (3),3,cos_tau1_std,0.018361526
SS (3),3,cos_tau2_mean,0.008373833
SS (3),3,cos_tau2_std,0.007662957
SS (3),3,sin_tau1_mean,0.006465079
SS (3),3,sin_tau1_std,0.01155631
SS (3),3,sin_tau2_mean,0.026957177
SS (3),3,sin_tau2_std,0.00532759
SS (3),3,n_conformers,0.00038099184
SS (3),3,n_clusters,0.0003147028
SS (3),3,ald_L_mean,0.026963545
SS (3),3,ald_L_std,0.06586181
SS (3),3,ald_B1_mean,0.080474354
SS (3),3,ald_B1_std,0.0105535155
SS (3),3,ald_B5_mean,0.028199807
SS (3),3,ald_B5_std,0.014486009
SS (3),3,ald_Vbur_total_mean,0.05171495
SS (3),3,ald_Vbur_total_std,0.021123365
SS (3),3,ald_n_conformers,0.025330078
SS (3),3,ald_n_clusters,0.017235136
SS (3),3,feat_DIPEA,0.010117431
SS (3),3,feat_Et3N,0.0015960176
SS (3),3,feat_LiHMDS,0.00061318977
SS (3),3,feat_NaHMDS,0.0
SS (3),3,feat_LDA,0.0
SS (3),3,feat_KHMDS,0.0
SS (3),3,feat_other_base,0.0011126341
SS (3),3,feat_no_base,0.0017380788
SS (3),3,feat_base_pKa,0.010148482
SS (3),3,feat_base_steric_A,0.0079924725
SS (3),3,feat_base_nucleophilicity,0.003618625
SS (3),3,feat_metal_B,0.004608727
SS (3),3,feat_metal_Cu,0.0
SS (3),3,feat_metal_Li,0.00029538642
SS (3),3,feat_metal_Mg,0.0068396167
SS (3),3,feat_metal_Sn,0.00042233654
SS (3),3,feat_metal_Ti,0.0033148467
SS (3),3,feat_metal_Zn,0.0
SS (3),3,feat_metal_Zr,0.0
SS (3),3,feat_metal_none,0.004871089
SS (3),3,feat_metal_unknown,0.00014336684
SS (3),3,feat_metal_coord_num,0.016530281
SS (3),3,feat_metal_ionic_radius,0.017921915
SS (3),3,feat_metal_hardness,0.009494813
SS (3),3,feat_solvent_alpha,0.0077880165
SS (3),3,feat_solvent_beta,0.015608244
SS (3),3,feat_solvent_pi_star,0.0089706415
SS (3),3,feat_solvent_ET30,0.016601067
SS (3),3,feat_solvent_epsilon,0.007035304
SS (3),3,feat_solvent_viscosity,0.0034256345
SS (3),3,feat_solvent_bp,0.0024459558
SS (3),3,feat_solvent_known,0.0016596935
SS (3),3,feat_act_Bu2BOTf,0.0019804747
SS (3),3,feat_act_Chx2BCl,0.0015394097
SS (3),3,feat_act_Ipc2BCl,0.0
SS (3),3,feat_act_9BBN_OTf,0.0
SS (3),3,feat_act_TiCl4,0.0027623773
SS (3),3,feat_act_Sn_OTf2,0.00014695266
SS (3),3,feat_act_MgCl2,0.0023744996
SS (3),3,feat_act_BF3_OEt2,0.0
SS (3),3,feat_act_other_activator,0.002592458
SS (3),3,feat_temperature_c,0.026974905
SS (3),3,feat_time_h,0.012972983
SS (3),3,feat_yield_pct,0.032258995
SS (3),3,feat_solvent_mw,0.044296727
SS (3),3,feat_solvent_density,0.038085453
SS (3),3,feat_solvent_refractive_index,0.01280402
SS (3),3,feat_solvent_dipole,0.0059427354
SS (3),3,feat_solvent_molar_vol,0.0047414415
SS (3),3,feat_solvent_logP,0.007893186
SS (3),3,aux_evans,0.00404733
SS (3),3,aux_crimmins_thione,0.001312329
SS (3),3,aux_crimmins_oxathione,0.0027147022
SS (3),3,aux_other_auxiliary,0.0015871052
SS (3),3,aux_myers,0.0
SS (3),3,n_defined_stereocenters,0.010142564
SS (3),3,chiral_dominant_sign,0.003721848
SS (3),3,chiral_primary_cip_R,0.005185639
SS (3),3,chiral_n_defined,0.0019173376
SS (3),3,chiral_sum_signs,0.0029943504
SS (3),3,chiral_aux_c4_R,0.03102398
SS (3),3,chiral_aux_c4_match,0.018803757
SS (3),3,chiral_aux_mw,0.007911297
SS (3),3,aux_rg_benzyl,0.0012335845
SS (3),3,aux_rg_isopropyl,0.002102229
SS (3),3,aux_rg_phenyl,2.7324526e-05
SS (3),3,aux_rg_tert_butyl,0.0
SS (3),3,aux_rg_methyl,0.00011738114
SS (3),3,aux_rg_indanyl,0.0
SS (3),3,aux_rg_other,5.227964e-05
SS (3),3,aux_oppolzer,0.001526319
SS (3),3,chiralenv_ket_n_stereo_3bond,0.00013637567
SS (3),3,chiralenv_ket_n_stereo_4bond,0.0012064095
SS (3),3,chiralenv_ket_n_stereo_5bond,0.0012108607
SS (3),3,chiralenv_ket_chirality_gradient,0.055609375
SS (3),3,chiralenv_ket_nearest_chiral_sign,0.015519326
SS (3),3,chiralenv_ket_nearest_chiral_dist,0.00014255336
SS (3),3,chiralenv_ket_alpha_is_chiral,3.0909818e-05
SS (3),3,chiralenv_ket_alpha_chiral_sign,0.0
SS (3),3,chiralenv_ket_chirality_product_3bond,0.016974375
SS (3),3,chiralenv_ket_nearest_pair_relation,0.0006149239
SS (3),3,chiralenv_ket_n_total_stereo,0.00095272524
SS (3),3,chiralenv_ket_mw,0.005933964
SS (3),3,chiralenv_ket_n_heavy,0.0050138603
SS (3),3,chiralenv_ket_frac_sp3,0.02266745
SS (3),3,chiralenv_ket_aux_ring_size,0.0022986592
SS (3),3,chiralenv_ald_n_stereo,0.005230395
SS (3),3,chiralenv_ald_chirality_sum,0.018438227
SS (3),3,chiralenv_ald_chirality_product,0.019440625
SS (3),3,chiralenv_ald_mw,0.03479855
SS (3),3,chiralenv_ald_n_heavy,0.03667956
SS (3),3,chiralenv_ald_frac_sp3,0.097891964
SS (3),3,ald_pri_is_aromatic,0.036727436
SS (3),3,ald_pri_alpha_branching,0.067393735
SS (3),3,ald_pri_max_atomic_num,0.06268568
SS (3),3,ald_pri_has_halogen,0.002081567
SS (3),3,ald_pri_has_heteroatom,0.0021038589
SS (3),3,ald_pri_n_rings,0.0030571497
SS (3),3,ald_pri_chain_length,0.011077459
SS (3),3,ald_pri_priority_proxy,0.14696395
SS (3),3,delta_chiral_0,0.0319267
SS (3),3,delta_chiral_1,0.014538181
SS (3),3,delta_chiral_2,0.009749158
SS (3),3,delta_chiral_3,0.006890271
SS (3),3,delta_chiral_4,0.0118899075
SS (3),3,delta_chiral_5,0.007394307
SS (3),3,delta_chiral_6,0.008116416
SS (3),3,delta_chiral_7,0.011514768
SS (3),3,delta_chiral_8,0.00855493
SS (3),3,delta_chiral_9,0.013981298
SS (3),3,delta_chiral_10,0.010539822
SS (3),3,delta_chiral_11,0.008181356
SS (3),3,delta_chiral_12,0.079746835
SS (3),3,delta_chiral_13,0.0078522805
SS (3),3,delta_chiral_14,0.010895869
SS (3),3,delta_chiral_15,0.019184962
SS (3),3,chiral_det_mean,0.011547015
SS (3),3,chiral_det_max,0.010985817
SS (3),3,chiral_det_abs_sum,0.022299718
