Model,Bal.Acc,MCC,Joint,F1m,Ca,Cb,SA,F1_C0,F1_C1,F1_C2,F1_C3,Bal.Acc 95%CI
ChiralAldolV4-XGB,0.8394,0.7818,0.8579,0.8271,0.9016,0.8852,0.9290,0.886,0.846,0.698,0.879,"[0.760,0.903]"
ChiralAldolV3b-XGB,0.8181,0.7503,0.8361,0.7905,0.8798,0.8852,0.9071,0.878,0.759,0.667,0.859,"[0.739,0.882]"
ChiralAldolV3-XGB,0.8224,0.7418,0.8306,0.7956,0.8798,0.8743,0.9071,0.861,0.759,0.714,0.848,"[0.745,0.889]"
ChiralAldolV2-Stack,0.8078,0.7277,0.8197,0.7695,0.8525,0.8798,0.9071,0.861,0.688,0.683,0.846,"[0.725,0.879]"
ChiralAldolV2-XGB,0.8188,0.7331,0.8251,0.7948,0.8689,0.8743,0.9071,0.853,0.786,0.698,0.843,"[0.740,0.887]"
ChiralAldol-Stack,0.7089,0.6397,0.7486,0.6225,0.8087,0.8087,0.8798,0.833,0.490,0.323,0.844,"[0.653,0.769]"
ChiralAldol-WtVote,0.7218,0.6770,0.7814,0.6417,0.8142,0.8251,0.9235,0.870,0.571,0.267,0.859,"[0.670,0.770]"
ChiralAldol+DRFP-XGB,0.6927,0.6619,0.7760,0.6251,0.8142,0.8251,0.9126,0.857,0.579,0.214,0.850,"[0.627,0.749]"
ChiralAldol-XGB,0.6759,0.6037,0.7213,0.5770,0.7814,0.7923,0.8689,0.815,0.462,0.200,0.831,"[0.622,0.723]"
SterOnly-XGB,0.6208,0.5044,0.6393,0.5618,0.7596,0.8415,0.6776,0.809,0.279,0.517,0.642,"[0.519,0.708]"
CondAux-XGB,0.6667,0.5619,0.6940,0.5715,0.7377,0.7923,0.8579,0.766,0.480,0.235,0.805,"[0.604,0.721]"
DRFP+Cond+XGBoost,0.8257,0.7138,0.8087,0.7757,0.8470,0.8579,0.9126,0.846,0.750,0.682,0.825,"[0.769,0.880]"
DRFP+Aux+Cond-XGB,0.7647,0.6733,0.7869,0.7343,0.8689,0.8415,0.8634,0.851,0.800,0.486,0.800,"[0.703,0.823]"
AuxChiral-XGB,0.6911,0.6045,0.7213,0.6004,0.7596,0.8142,0.8689,0.800,0.471,0.303,0.828,"[0.631,0.752]"
AuxChiral+Ald-XGB,0.6885,0.6311,0.7596,0.6678,0.7978,0.8197,0.9016,0.814,0.600,0.444,0.813,"[0.595,0.769]"
AuxChiral-LGBM,0.6896,0.6147,0.7322,0.5993,0.7705,0.8087,0.8852,0.803,0.490,0.267,0.838,"[0.637,0.742]"
CondOnly-XGB,0.4838,0.2443,0.4809,0.3931,0.5792,0.5355,0.8470,0.469,0.377,0.129,0.597,"[0.406,0.551]"
AuxNoBase-XGB,0.6825,0.5940,0.7213,0.5939,0.7541,0.7978,0.8907,0.772,0.522,0.250,0.832,"[0.632,0.735]"
DRFP+XGBoost,0.7220,0.5903,0.7268,0.6857,0.7705,0.8306,0.8525,0.734,0.600,0.638,0.770,"[0.629,0.802]"
DRFP+LightGBM,0.6744,0.5414,0.6885,0.6281,0.7486,0.8087,0.8197,0.738,0.471,0.571,0.732,"[0.582,0.765]"
Chemprop+Cond,0.6761,0.6428,0.7650,0.6423,0.7978,0.8087,0.9235,0.847,0.514,0.387,0.821,"[0.590,0.758]"
Chemprop,0.5721,0.5188,0.6940,0.5576,0.7814,0.7869,0.8197,0.771,0.500,0.222,0.737,"[0.484,0.658]"
ProtoNet,0.6603,0.6052,0.7377,0.6081,0.7705,0.8415,0.8634,0.773,0.556,0.258,0.846,"[0.583,0.726]"
ChemAHNet-Aldol,0.6001,0.5027,0.6721,0.5684,0.7213,0.8306,0.7923,0.725,0.485,0.308,0.756,"[0.500,0.694]"
DistilBERT-Rxn,0.6561,0.4773,0.6120,0.5533,0.6721,0.7978,0.7541,0.683,0.431,0.393,0.706,"[0.571,0.731]"
RoBERTa-Rxn,0.4785,0.3359,0.5137,0.3700,0.5355,0.7432,0.7486,0.735,0.257,0.000,0.488,"[0.401,0.545]"
ChemBERTa-77M,0.4874,0.2035,0.4044,0.3563,0.4918,0.5738,0.7432,0.560,0.351,0.304,0.211,"[0.411,0.572]"
MolT5-base,0.2713,0.1188,0.4208,0.1906,0.4754,0.5519,0.8142,0.567,0.000,0.000,0.196,"[0.252,0.293]"
ChiENN-Product,0.6182,0.4614,0.6339,0.5680,0.6831,0.7650,0.8197,0.667,0.514,0.375,0.716,"[0.532,0.703]"
EquiReact,0.4472,0.1904,0.4481,0.3340,0.5355,0.5027,0.8579,0.432,0.345,0.000,0.559,"[0.376,0.506]"
Morgan-MLP,0.6729,0.4613,0.6448,0.6588,0.6885,0.7213,0.8798,0.619,0.750,0.600,0.667,"[0.575,0.758]"
XGBoost-FullFP,0.5549,0.4131,0.6011,0.4934,0.6284,0.6557,0.9180,0.691,0.462,0.200,0.621,"[0.473,0.628]"
XGBoost,0.6099,0.4783,0.6557,0.5761,0.6721,0.7158,0.9235,0.701,0.529,0.375,0.699,"[0.522,0.684]"
LightGBM,0.5851,0.4173,0.6120,0.5268,0.6667,0.6776,0.8798,0.671,0.526,0.267,0.643,"[0.499,0.658]"
RF,0.6148,0.4871,0.6612,0.5633,0.6831,0.7104,0.9290,0.714,0.556,0.276,0.707,"[0.536,0.689]"
RXNFP+XGBoost,0.2846,0.0853,0.3825,0.2804,0.4809,0.6120,0.6721,0.418,0.108,0.089,0.507,"[0.217,0.354]"
RXNFP+LightGBM,0.2763,0.0683,0.3716,0.2702,0.4645,0.6120,0.6667,0.371,0.105,0.089,0.516,"[0.210,0.348]"
RXNFP+MLP,0.2465,-0.0086,0.3989,0.2200,0.4863,0.4973,0.8142,0.437,0.000,0.000,0.443,"[0.207,0.286]"
1-NN,0.4504,0.2424,0.4973,0.4257,0.5792,0.6557,0.7596,0.528,0.364,0.244,0.568,"[0.350,0.562]"
5-NN,0.4568,0.3097,0.5464,0.4202,0.5956,0.6667,0.8306,0.599,0.308,0.143,0.632,"[0.367,0.542]"
